"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Lake Havasu City PD",0,4,0,6,9,36,3,1,4,2023,"Arizona"
"Tucson PD",7,39,59,195,158,475,176,0,4,2023,"Arizona"
"Marana PD",0,0,0,3,4,79,5,0,4,2023,"Arizona"
"Casa Grande PD",0,3,2,18,25,86,16,1,4,2023,"Arizona"
"Maricopa PD",0,1,0,13,7,32,4,0,4,2023,"Arizona"
"Yuma PD",0,1,3,22,27,80,21,0,4,2023,"Arizona"
"Flagstaff PD",0,5,1,14,21,116,3,5,5,2023,"Arizona"
"Avondale PD",1,3,9,30,10,173,16,1,5,2023,"Arizona"
"Buckeye PD",0,5,1,14,6,54,9,1,5,2023,"Arizona"
"Chandler PD",1,10,6,20,28,242,19,1,5,2023,"Arizona"
"Gilbert PD",0,8,3,16,20,194,29,1,5,2023,"Arizona"
"Glendale PD",4,16,18,106,78,456,120,2,5,2023,"Arizona"
"Goodyear PD",1,5,2,7,32,143,7,1,5,2023,"Arizona"
"Mesa PD",4,18,19,159,88,493,98,7,5,2023,"Arizona"
"Queen Creek Police Department",0,1,1,11,8,38,3,1,5,2023,"Arizona"
"Peoria PD",0,12,1,23,26,185,25,0,5,2023,"Arizona"
"Phoenix PD",23,118,243,818,472,NA,764,13,5,2023,"Arizona"
"Scottsdale PD",0,10,4,29,43,355,64,0,5,2023,"Arizona"
"Surprise PD",0,4,3,10,15,108,18,0,5,2023,"Arizona"
"Tempe PD",1,11,8,48,66,437,54,2,5,2023,"Arizona"
"Lake Havasu City PD",1,6,0,9,5,60,1,0,5,2023,"Arizona"
"Tucson PD",1,41,60,176,184,524,152,16,5,2023,"Arizona"
"Marana PD",0,0,0,7,3,90,3,0,5,2023,"Arizona"
"Casa Grande PD",1,0,6,21,20,84,21,1,5,2023,"Arizona"
"Maricopa PD",0,1,0,30,3,37,3,0,5,2023,"Arizona"
"Yuma PD",3,4,7,38,26,79,20,0,5,2023,"Arizona"
"Flagstaff PD",0,3,2,19,17,115,5,4,6,2023,"Arizona"
"Avondale PD",0,4,1,25,25,179,21,3,6,2023,"Arizona"
"Buckeye PD",0,6,2,8,4,45,7,0,6,2023,"Arizona"
"Chandler PD",0,7,10,32,36,278,41,1,6,2023,"Arizona"
"Gilbert PD",2,2,2,22,12,167,14,1,6,2023,"Arizona"
"Glendale PD",2,13,17,113,57,407,153,10,6,2023,"Arizona"
"Goodyear PD",0,1,1,5,26,112,9,1,6,2023,"Arizona"
"Mesa PD",3,8,29,139,113,492,126,3,6,2023,"Arizona"
"Queen Creek Police Department",0,4,0,5,4,43,3,1,6,2023,"Arizona"
"Peoria PD",0,11,0,13,37,151,21,0,6,2023,"Arizona"
"Phoenix PD",11,77,252,823,476,NA,745,19,6,2023,"Arizona"
"Scottsdale PD",0,16,4,21,51,338,43,0,6,2023,"Arizona"
"Surprise PD",0,5,0,9,14,153,16,0,6,2023,"Arizona"
"Tempe PD",3,11,15,56,64,361,53,2,6,2023,"Arizona"
"Lake Havasu City PD",1,1,0,11,22,59,9,0,6,2023,"Arizona"
"Tucson PD",8,38,58,155,190,542,180,15,6,2023,"Arizona"
"Marana PD",0,0,0,3,8,81,2,0,6,2023,"Arizona"
"Casa Grande PD",0,3,3,16,18,80,24,0,6,2023,"Arizona"
"Maricopa PD",0,0,1,15,4,32,4,0,6,2023,"Arizona"
"Yuma PD",1,6,4,23,24,81,22,4,6,2023,"Arizona"
"Flagstaff PD",0,3,3,17,23,123,9,6,7,2023,"Arizona"
"Avondale PD",0,7,10,8,16,163,33,0,7,2023,"Arizona"
"Buckeye PD",0,4,0,6,19,71,11,0,7,2023,"Arizona"
"Chandler PD",0,10,4,18,24,248,36,0,7,2023,"Arizona"
"Gilbert PD",0,8,1,21,22,170,18,2,7,2023,"Arizona"
"Glendale PD",2,19,20,78,72,348,109,2,7,2023,"Arizona"
"Goodyear PD",0,3,2,9,28,89,20,1,7,2023,"Arizona"
"Mesa PD",0,20,26,158,82,444,135,2,7,2023,"Arizona"
"Queen Creek Police Department",0,0,1,1,1,33,2,1,7,2023,"Arizona"
