"","pds","Total","Note"
"154","Chesterfield,VA,County",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"155","Cheyenne,WY,City",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"156","Danbury,CT,City",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"157","Duluth,MN,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"158","El Cajon,CA,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"159","Grand Forks,ND,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"160","Grand Junction,CO,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"161","Harlingen,TX,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"162","Hartford,CT,City",3,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1"
"163","Henderson,NV,City",3,"Theft_pri8 | Agg.Assault_pri1 | MVT_pri1"
"164","Henrico,VA,County",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"165","Jefferson,LA,County",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"166","Kent,MI,County",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"167","Knoxville,TN,City",3,"Robbery_pri8 | Theft_pri8 | MVT_pri8"
"168","Lansing,MI,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"169","Lewisville,TX,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"170","Long Beach,CA,City",3,"Burglary_pri1 | Theft_pri1 | MVT_pri1"
"171","Lynchburg,VA,City",3,"Theft_pri8 | MVT_pri8 | MVT_pri1"
"172","Medford,OR,City",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"173","Mesquite,TX,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"174","Miami Beach,FL,City",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
