"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"265","Temple, TX","Temple",0,7,1,5,25,109,23,2020,1,"TX",88484,"93073",13,157,1
"266","Texas City, TX","Texas City",0,4,3,9,11,72,7,2024,7,"TX",56311,"57448",16,90,1
"267","Thornton, CO","Thornton",0,2,12,26,31,255,65,2019,5,"CO",143055,"143838",40,351,1
"268","Tigard, OR","Tigard",0,3,2,6,19,101,4,2018,8,"OR",56550,"56142",11,124,1
"269","Tinley Park, IL","Tinley Park",0,0,1,3,2,37,12,2021,6,"IL",53973,"53528",4,51,1
"270","Tracy, CA","Tracy",1,3,5,11,25,137,28,2018,6,"CA",97219,"99347",20,190,1
"271","Tucson, AZ","Tucson",3,48,124,185,399,1671,141,2017,1,"AZ",544629,"548544",360,2211,1
"272","Twin Falls, ID","Twin Falls",0,5,1,11,3,56,7,2023,10,"ID",54648,"55447",17,66,1
"273","Upper Darby, PA","Upper Darby",0,0,8,19,7,61,22,2019,2,"PA",84407,"84468",27,90,1
"274","Vallejo, CA","Vallejo",1,9,33,45,213,100,95,2017,1,"CA",123940,"122419",88,408,1
"275","Victoria, TX","Victoria",0,1,3,9,14,91,4,2024,5,"TX",65165,"65298",13,109,1
"276","Waco, TX","Waco",2,8,10,26,28,206,19,2024,4,"TX",140911,"145741",46,253,1
"277","Waltham, MA","Waltham",0,0,0,15,4,41,5,2023,3,"MA",63525,"63797",15,50,1
"278","Warwick, RI","Warwick",0,1,0,1,12,75,8,2019,8,"RI",82966,"83369",2,95,1
"279","Washington, DC","Washington",8,22,212,184,153,2273,169,2017,1,"DC",671803,"678972",426,2595,1
"280","Waterbury, CT","Waterbury",3,4,13,16,33,156,58,2023,5,"CT",113464,"115380",36,247,1
"281","West Hartford, CT","West Hartford",0,0,2,3,2,76,7,2019,3,"CT",63934,"64423",5,85,1
"282","West Haven, CT","West Haven",0,0,2,3,7,84,18,2021,6,"CT",55133,"54791",5,109,1
"283","Westminster, CO","Westminster",0,2,7,12,53,255,104,2020,11,"CO",112844,"113660",21,412,1
"284","Weymouth, MA","Weymouth",0,0,2,5,8,68,2,2021,3,"MA",58231,"57725",7,78,1
"285","Wichita Falls, TX","Wichita Falls",0,8,7,19,41,154,25,2024,8,"TX",103337,"102740",34,220,1
"286","Woodbury, MN","Woodbury",0,1,1,2,5,68,3,2024,6,"MN",78531,"80153",4,76,1
