"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Brooklyn Park","Minnesota",FALSE,"Brooklyn Park, Minnesota",45.1004807,-93.3443585,82087,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Broomfield","Colorado",FALSE,"Broomfield, Colorado",39.9403995,-105.05208,79451,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Brownsville","Texas",FALSE,"Brownsville, Texas",25.9024289,-97.4981698,193321,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Buckeye","Arizona",FALSE,"Buckeye, Arizona",33.3703197,-112.583776,120174,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Buena Park","California",FALSE,"Buena Park, California",33.870413,-117.9962165,82300,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Buffalo","New York",FALSE,"Buffalo, New York",42.8864163,-78.8781493,276384,"Agency Aggregated","Open Source","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data",TRUE
"Buncombe County","North Carolina",TRUE,"Buncombe County, North Carolina",35.6292222,-82.5255603,162165,"State UCR","Provided by State UCR Program","From NC",TRUE
"Burbank","California",FALSE,"Burbank, California",34.1812089,-118.307201,102684,"Crime Data Explorer","Open Source","https://www.burbankpd.org/crime-information/crime-statistics/",TRUE
"Burleson","Texas",FALSE,"Burleson, Texas",30.4764878,-96.6353488,47697,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Burlington","North Carolina",FALSE,"Burlington, North Carolina",36.0956918,-79.4377991,59483,"State UCR","Provided by State UCR Program","From NC",TRUE
"Burlington","Vermont",FALSE,"Burlington, Vermont",44.4761601,-73.212906,44354,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Burnsville","Minnesota",FALSE,"Burnsville, Minnesota",44.7670567,-93.2773887,64952,"State UCR","Open Source","https://cde.state.mn.us/",TRUE
"Caldwell","Idaho",FALSE,"Caldwell, Idaho",43.6678736,-116.689415,76553,"State UCR","Open Source","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch",TRUE
"Camarillo","California",FALSE,"Camarillo, California",34.2176371,-119.0383541,69673,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Cambridge","Massachusetts",FALSE,"Cambridge, Massachusetts",42.3656347,-71.1040018,121634,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",TRUE
"Cameron County","Texas",TRUE,"Cameron County, Texas",26.1291189,-97.4134281,95770,"State UCR","Agency Aggregated","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Canton Township","Michigan",FALSE,"Canton Township, Michigan",42.3076547,-83.4868961,100042,"Crime Data Explorer","Open Source","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",TRUE
"Canton","Ohio",FALSE,"Canton, Ohio",40.7985464,-81.3749508,68866,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",TRUE
"Carlsbad","California",FALSE,"Carlsbad, California",33.1580933,-117.3505966,113239,"Agency Aggregated","Open Source","https://crimestats.arjis.org/default.aspx",TRUE
"Carmel","Indiana",FALSE,"Carmel, Indiana",39.9784186,-86.1283681,104553,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Carrollton","Texas",FALSE,"Carrollton, Texas",32.9515472,-96.9034244,83979,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Cary","North Carolina",FALSE,"Cary, North Carolina",35.7882893,-78.7812081,180581,"State UCR","Provided by State UCR Program","From NC",FALSE
