"agency_name","state_name","is_county","address","lat","long"
"Millcreek","Pennsylvania",FALSE,"Millcreek, Pennsylvania",42.1009538,-80.0208338785957
"Milpitas","California",FALSE,"Milpitas, California",37.4332273,-121.8989248
"Milwaukee","Wisconsin",FALSE,"Milwaukee, Wisconsin",43.0386475,-87.9090751
"Minneapolis","Minnesota",FALSE,"Minneapolis, Minnesota",44.9772995,-93.2654692
"Minnetonka","Minnesota",FALSE,"Minnetonka, Minnesota",44.9405086,-93.4638936
"Mission","Texas",FALSE,"Mission, Texas",26.2159066,-98.3252932
"Missouri City","Texas",FALSE,"Missouri City, Texas",29.6185669,-95.5377215
"Montgomery County","Maryland",TRUE,"Montgomery County, Maryland",39.1406267,-77.2075612
"Montgomery County","Texas",TRUE,"Montgomery County, Texas",30.301949,-95.5065944
"Mount Prospect","Illinois",FALSE,"Mount Prospect, Illinois",42.0664167,-87.9372908
"Mount Vernon","New York",FALSE,"Mount Vernon, New York",40.9125085,-73.8386504
"Nampa","Idaho",FALSE,"Nampa, Idaho",43.5737361,-116.559631
"Nashua","New Hampshire",FALSE,"Nashua, New Hampshire",42.7656251,-71.4677032
"Nashville","Tennessee",FALSE,"Nashville, Tennessee",36.1622767,-86.7742984
"National City","California",FALSE,"National City, California",32.6781085,-117.0991967
"New Bedford","Massachusetts",FALSE,"New Bedford, Massachusetts",41.6362152,-70.934205
"New Braunfels","Texas",FALSE,"New Braunfels, Texas",29.7028266,-98.1257348
"New Britain","Connecticut",FALSE,"New Britain, Connecticut",41.6612104,-72.7795419
"New Haven","Connecticut",FALSE,"New Haven, Connecticut",41.3082138,-72.9250518
"New Orleans","Louisiana",FALSE,"New Orleans, Louisiana",29.9759983,-90.0782127
"New York City","New York",FALSE,"New York City, New York",40.7127281,-74.0060152
"Newark","New Jersey",FALSE,"Newark, New Jersey",40.735657,-74.1723667
"Newark","Ohio",FALSE,"Newark, Ohio",40.0581205,-82.4012643
"Newport News","Virginia",FALSE,"Newport News, Virginia",36.9775016,-76.42977
"Newton","Massachusetts",FALSE,"Newton, Massachusetts",42.3370414,-71.2092214
"Norfolk","Virginia",FALSE,"Norfolk, Virginia",36.8493695,-76.2899539
"Normal","Illinois",FALSE,"Normal, Illinois",40.5092961,-88.9843937
"North Bergen Township","New Jersey",FALSE,"North Bergen Township, New Jersey",40.2869532955683,-74.4115579228905
"North Las Vegas","Nevada",FALSE,"North Las Vegas, Nevada",36.2005843,-115.121584
"North Richland Hills","Texas",FALSE,"North Richland Hills, Texas",32.8342952,-97.2289029
"Norwalk","Connecticut",FALSE,"Norwalk, Connecticut",41.1175966,-73.4078968
"Novi","Michigan",FALSE,"Novi, Michigan",42.48059,-83.4754913
"O'Fallon","Missouri",FALSE,"O'Fallon, Missouri",38.7902503,-90.7033292
"Oak Lawn","Illinois",FALSE,"Oak Lawn, Illinois",41.7108662,-87.7581081
"Oceanside","California",FALSE,"Oceanside, California",33.1958696,-117.379483
"Odessa","Texas",FALSE,"Odessa, Texas",31.8457149,-102.367687
"Omaha","Nebraska",FALSE,"Omaha, Nebraska",41.2587459,-95.9383758
"Oshkosh","Wisconsin",FALSE,"Oshkosh, Wisconsin",44.0206919,-88.5408574
"Ottawa County","Michigan",TRUE,"Ottawa County, Michigan",42.9547143,-85.9827867
"Palatine","Illinois",FALSE,"Palatine, Illinois",42.1105779,-88.0336888
"Parker","Colorado",FALSE,"Parker, Colorado",39.5184514,-104.7612638
"Parker County","Texas",TRUE,"Parker County, Texas",32.77725975,-97.804559869202
"Parma","Ohio",FALSE,"Parma, Ohio",41.3822398,-81.7355692
"Pasadena","Texas",FALSE,"Pasadena, Texas",29.6910753,-95.2092076
"Pawtucket","Rhode Island",FALSE,"Pawtucket, Rhode Island",41.8789531,-71.3821203
"Peabody","Massachusetts",FALSE,"Peabody, Massachusetts",42.5278731,-70.9286609
"Pearland","Texas",FALSE,"Pearland, Texas",29.5639758,-95.2864299
"Peoria","Arizona",FALSE,"Peoria, Arizona",33.5806115,-112.237294
"Pflugerville","Texas",FALSE,"Pflugerville, Texas",30.4393696,-97.6200043
"Pharr","Texas",FALSE,"Pharr, Texas",26.1947962,-98.1836216
"Philadelphia","Pennsylvania",FALSE,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
"Phoenix","Arizona",FALSE,"Phoenix, Arizona",33.4484367,-112.074141
"Pima County","Arizona",TRUE,"Pima County, Arizona",32.1112624,-111.6546163
"Pinal County","Arizona",TRUE,"Pinal County, Arizona",32.8085851,-111.4426212
"Pittsburgh","Pennsylvania",FALSE,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
"Plano","Texas",FALSE,"Plano, Texas",33.0136764,-96.6925096
"Plymouth","Massachusetts",FALSE,"Plymouth, Massachusetts",41.9426657,-70.7618592
"Plymouth","Minnesota",FALSE,"Plymouth, Minnesota",45.0065149,-93.46651
"Pocatello","Idaho",FALSE,"Pocatello, Idaho",42.8620287,-112.450627
"Ponce","Puerto Rico",FALSE,"Ponce, Puerto Rico",18.06682235,-66.6140412435757
